Sample name,Cycle,Reactor phase,Conductivity (µS/cm),pH,Temperature (°C),Time point (d),D2.tax,D1.tax,D0.tax,D2.fcm,D2.fcm.sd,D1.fcm,D1.fcm.sd,D0.fcm,D0.fcm.sd,Cell.density,Cell.density.sd,D0_GLMM,D1_GLMM,D2_GLMM
CYCLUS1_BEKKEN_-7_A_PRECYCLE,1,Control,1.17,4.69,17.41,-8.20,5.83,8.13,40.00,1109.21,28.18,1866.68,11.95,7792.00,225.88,962613.333333333,25454.3460598251,33.12258215,5.655833453,3.370557757
CYCLUS1_BEKKEN_-7_B_PRECYCLE,1,Control,1.15,4.87,16.94,-7.79,4.21,8.13,53.00,1060.39,34.96,1783.65,7.92,7071.67,141.18,970093.333333333,6760.1577890855,42.47004883,4.801821088,2.962899234
CYCLUS1_BEKKEN_-5_A_PRECYCLE,1,Control,1.17,4.87,13.33,-6.20,,,,1134.07,17.30,1868.59,2.21,7187.67,47.92,989813.333333333,3944.4813769789,,,
CYCLUS1_BEKKEN_-5_B_PRECYCLE,1,Control,1.54,4.80,17.95,-5.79,4.75,7.24,45.00,1126.44,55.44,1864.60,12.63,7081.00,275.79,1022280,13645.39482756,34.53285476,5.63322918,3.522662835
CYCLUS1_BEKKEN_-3_A_PRECYCLE,1,Control,1.39,4.82,18.18,-4.20,5.27,8.06,39.00,1127.24,44.35,1852.60,9.70,7348.33,311.08,1146120,16386.6775155917,35.1518206,5.503877018,3.529828002
CYCLUS1_BEKKEN_-3_B_PRECYCLE,1,Control,1.35,4.83,22.57,-3.79,3.69,5.75,31.00,1082.97,4.04,1813.89,1.88,7237.67,117.72,1188706.66666667,5276.4129229367,36.54572651,5.101161373,3.1472127
CYCLUS1_BEKKEN_-1_A_PRECYCLE,1,Control,1.35,4.83,25.05,-1.20,3.98,5.89,31.00,1054.21,31.65,1787.14,7.09,7278.00,243.76,1158306.66666667,2624.9063475357,39.41560237,4.835700837,2.913681078
CYCLUS1_BEKKEN_-1_B_PRECYCLE,1,Control,1.31,4.86,24.45,-0.79,6.33,11.09,61.00,1124.61,18.63,1927.42,4.55,7568.33,493.26,1214026.66666667,15991.6144692565,35.65601399,6.346505173,3.506271468
CYCLUS1_BEKKEN_0_0h_START,1,Startup,1.30,4.86,24.43,0.00,7.35,14.60,54.00,1280.85,15.30,2119.61,2.17,8202.33,96.67,1287266.66666667,15661.1280990015,48.43965609,8.934239947,5.089054124
CYCLUS1_BEKKEN_0_2h_START,1,Startup,2.88,4.62,29.41,0.08,4.25,7.54,52.00,1469.32,38.41,2285.87,7.52,7883.33,344.35,1222920,17323.4638568619,43.75748607,11.72340867,7.53988826
CYCLUS1_BEKKEN_0_4h_START,1,Startup,3.67,4.51,30.44,0.17,2.84,4.72,38.00,1260.08,16.48,2045.80,2.17,7678.00,155.83,1539813.33333333,17628.4467079018,40.89586936,7.864561254,4.856264958
CYCLUS1_BEKKEN_0_6h_START,1,Startup,4.60,4.42,28.72,0.25,2.73,4.71,39.00,1053.70,31.58,1782.32,7.61,7249.67,243.19,1841706.66666667,8073.8920808575,35.30137109,4.788884939,2.909672048
CYCLUS1_BEKKEN_0_10h_START,1,Startup,4.39,4.73,27.89,0.42,3.23,5.36,43.00,929.50,5.35,1594.08,1.74,6942.67,78.03,2246880,29065.5534955039,31.59616232,3.204940022,2.031732653
CYCLUS1_BEKKEN_1_A_OPERATION,1,Operation,5.65,4.31,28.06,0.80,3.26,4.69,29.00,1049.35,20.72,1732.53,6.46,7384.67,308.29,2529853.33333333,82405.4593660719,37.01058851,4.324805625,2.875439796
CYCLUS1_BEKKEN_1_B_OPERATION,1,Operation,5.69,4.30,26.40,1.22,2.80,4.94,44.00,947.91,53.32,1577.85,12.80,6852.67,410.89,2576533.33333333,41321.4585092701,30.55711582,3.089132127,2.149125426
CYCLUS1_BEKKEN_2_A_OPERATION,1,Operation,5.02,4.36,27.41,1.80,2.22,3.41,31.00,977.46,22.50,1601.25,4.73,6745.00,141.78,2710200,36938.7817882507,29.34182443,3.257130044,2.346609541
CYCLUS1_BEKKEN_2_B_OPERATION,1,Operation,4.85,4.37,28.09,2.22,2.36,3.43,26.00,981.37,34.51,1600.80,8.34,6746.67,332.27,2779360,43504.0595806874,29.36040815,3.25386112,2.37360849
CYCLUS1_BEKKEN_3_A_OPERATION,1,Operation,4.42,4.28,29.53,2.80,2.51,3.29,19.00,947.96,28.18,1551.12,6.54,6751.67,233.59,2318720,70522.9834876546,29.41620237,2.904945896,2.149408787
CYCLUS1_BEKKEN_3_B_OPERATION,1,Operation,3.98,4.45,29.43,3.22,2.55,3.66,30.00,976.26,6.31,1591.43,1.22,6733.67,37.87,2181853.33333333,42187.2460980014,29.21564533,3.185873264,2.338333236
CYCLUS1_BEKKEN_4_A_OPERATION,1,Operation,3.78,4.47,28.11,3.80,2.66,4.02,33.00,1025.26,39.63,1684.41,7.85,6988.33,193.85,1932506.66666667,31666.7733331537,32.13150431,3.907974056,2.690401139
CYCLUS1_BEKKEN_4_B_OPERATION,1,Operation,3.83,4.48,26.97,4.22,2.88,3.93,25.00,1240.77,17.29,1978.47,4.57,7466.00,111.97,1732640,21168.0136054378,38.06421722,6.972326149,4.646182239
CYCLUS1_BEKKEN_5_A_OPERATION,1,Operation,3.68,4.49,29.01,4.80,3.46,6.56,45.00,1144.22,70.17,1911.48,15.25,7584.33,440.87,1274293.33333333,28772.2736907137,39.62949701,6.159635237,3.684204981
CYCLUS1_BEKKEN_5_B_OPERATION,1,Operation,3.63,4.51,26.04,5.22,,,,1216.68,29.48,2057.27,4.76,8050.33,109.04,1029853.33333333,27191.2142673573,,,
CYCLUS1_BEKKEN_6_A_OPERATION,1,Operation,3.33,4.56,25.89,5.80,2.43,4.63,45.00,1230.55,14.82,2163.71,3.86,8573.33,98.20,762893.333333333,23880.0446677416,54.25453905,9.621291604,4.53739776
CYCLUS1_BEKKEN_6_B_OPERATION,1,Operation,3.47,4.53,25.22,6.22,,,,1198.13,32.31,2111.36,5.94,8352.00,88.88,658626.666666667,6879.1084693682,,,
CYCLUS1_BEKKEN_7_A_OPERATION,1,Operation,4.18,4.44,26.93,6.80,,,,1266.21,16.78,2284.48,3.92,9465.67,189.02,532480,8408.8524781923,,,
CYCLUS1_BEKKEN_7_B_OPERATION,1,Operation,5.02,4.36,26.43,7.22,,,,1192.42,50.58,2125.47,10.33,8555.00,222.06,521840,2523.8066486956,,,
CYCLUS1_BEKKEN_8_A_OPERATION,1,Operation,4.39,4.40,26.85,7.80,8.51,17.69,87.00,1204.80,58.25,2167.02,15.49,8830.00,525.09,399120,7465.2260515004,58.51491764,9.674337653,4.270768022
CYCLUS1_BEKKEN_8_B_OPERATION,1,Operation,4.45,4.40,27.80,8.22,,,,1183.59,25.80,2135.79,5.83,8904.00,222.64,434493.333333333,12009.1520655429,,,
CYCLUS1_BEKKEN_9_A_OPERATION,1,Operation,4.46,4.38,27.75,8.80,,,,1268.62,9.92,2268.16,2.26,9259.67,153.31,380333.333333333,3302.4435397647,,,
CYCLUS1_BEKKEN_9_B_OPERATION,1,Operation,4.18,4.43,26.74,9.22,,,,1432.95,123.82,2499.69,17.72,9457.33,524.15,425720,55462.0879520416,,,
CYCLUS1_BEKKEN_10_A_OPERATION,1,Operation,4.26,4.41,27.53,9.80,,,,1379.70,26.25,2474.20,6.27,10081.00,362.86,372080,5774.2878348763,,,
CYCLUS1_BEKKEN_10_B_OPERATION,1,Operation,4.34,4.40,25.55,10.22,,,,1469.24,61.46,2593.35,10.20,10324.33,278.81,436186.666666667,16163.3824842863,,,
CYCLUS1_BEKKEN_11_A_OPERATION,1,Operation,5.09,4.33,26.08,10.80,5.01,11.01,69.00,1452.01,24.23,2602.66,4.72,10513.33,213.97,427853.333333333,4301.8755599544,91.50947123,18.70054094,7.28827718
CYCLUS1_BEKKEN_11_B_OPERATION,1,Operation,5.12,4.33,25.37,11.22,,,,1391.11,65.97,2451.71,13.49,9781.67,371.66,445333.333333333,3712.1063203165,,,
CYCLUS1_BEKKEN_12_A_OPERATION,1,Operation,4.82,4.35,26.32,11.80,,,,1381.91,41.63,2445.05,9.41,9704.67,465.61,431360,7794.2542940297,,,
CYCLUS1_BEKKEN_12_B_OPERATION,1,Operation,5.20,4.32,26.79,12.22,,,,1351.39,78.35,2334.68,17.78,9128.00,677.39,453026.666666667,6724.0860593343,,,
CYCLUS1_BEKKEN_13_A_OPERATION,1,Operation,5.50,4.29,26.38,12.80,5.14,10.39,67.00,1385.79,26.56,2441.44,6.23,9536.00,655.08,458813.333333333,10199.3202387872,71.26469215,14.85705198,6.376346912
CYCLUS1_BEKKEN_13_B_OPERATION,1,Operation,6.03,4.24,25.94,13.22,,,,1424.05,144.70,2594.09,56.79,10533.67,1499.76,470933.333333333,12940.3760893311,,,
CYCLUS1_BEKKEN_14_A_OPERATION,1,Operation,5.82,4.27,26.34,13.80,4.67,8.38,57.00,1304.42,57.90,2308.67,12.66,9214.67,102.76,456120,16418.964644581,65.27167232,12.14952161,5.361760207
CYCLUS1_BEKKEN_15_A_OPERATION,1,Operation,6.28,4.23,24.97,14.80,,,,1174.42,18.58,2076.67,6.12,8524.00,331.00,553973.333333333,4874.3136268949,,,
CYCLUS1_BEKKEN_15_B_OPERATION,1,Operation,6.99,4.18,24.51,15.22,2.78,4.88,38.00,1121.68,84.14,2004.16,19.99,8582.00,691.33,575240,8866.0250394413,54.39520091,7.303678868,3.48020339
CYCLUS1_BEKKEN_16_A_OPERATION,1,Operation,6.90,4.18,25.50,15.80,,,,1058.05,19.25,1890.76,4.61,8083.33,141.05,679346.666666667,2040.5228088246,,,
CYCLUS1_BEKKEN_16_B_OPERATION,1,Operation,6.36,4.22,26.50,16.22,1.41,2.25,29.00,1018.57,19.57,1771.85,4.44,7498.00,151.61,813813.333333333,26491.759725117,38.4837124,4.688470783,2.640431099
CYCLUS1_BEKKEN_17_A_OPERATION,1,Operation,5.40,4.29,27.76,16.80,1.45,2.39,20.00,868.35,21.73,1535.18,6.18,6989.67,318.21,1253546.66666667,29689.1989338435,32.14721719,2.79897232,1.671964665
CYCLUS1_BEKKEN_17_B_OPERATION,1,Operation,5.05,4.32,27.89,17.22,,,,729.89,19.83,1249.82,5.60,5827.00,242.63,1288653.33333333,45783.9156618712,,,
CYCLUS1_BEKKEN_18_A_OPERATION,1,Operation,4.47,4.38,26.05,17.80,1.38,2.29,34.00,795.27,23.29,1448.43,2.65,7249.67,307.80,1359746.66666667,43564.652338029,35.30137109,2.270392704,1.299872726
CYCLUS1_BEKKEN_18_B_OPERATION,1,Operation,3.05,4.48,25.93,18.22,,,,854.86,8.89,1565.98,2.79,7531.67,153.12,1347173.33333333,12554.2874482518,,,
CYCLUS1_BEKKEN_19_A_OPERATION,1,Operation,3.65,4.48,28.06,18.80,1.40,2.33,33.00,853.90,8.72,1508.26,1.21,6941.67,149.35,1197373.33333333,80161.3007213165,31.58450082,2.62631355,1.593524112
CYCLUS1_BEKKEN_19_B_OPERATION,1,Operation,3.46,4.51,25.96,19.22,1.34,2.23,36.00,817.89,30.87,1503.97,13.67,6923.00,468.91,1244826.66666667,7823.7927716251,31.36730125,2.599544358,1.408541397
CYCLUS1_BEKKEN_20_A_OPERATION,1,Operation,3.93,4.54,26.59,19.80,,,,854.76,16.72,1584.69,3.03,7281.67,435.38,1079960,6731.062323289,,,
CYCLUS1_BEKKEN_20_B_OPERATION,1,Operation,3.84,4.53,26.02,20.22,,,,835.21,82.46,1497.41,18.43,6639.67,465.10,1156040,29913.9833522719,,,
CYCLUS1_BEKKEN_21_0h_SHUTDOWN,1,Shutdown,3.28,4.54,25.58,20.92,,,,806.31,40.18,1485.43,10.81,6809.00,422.59,1119053.33333333,25628.0263253598,,,
CYCLUS1_BEKKEN_21_1h_SHUTDOWN,1,Shutdown,3.25,4.54,20.80,20.96,,,,869.89,26.28,1600.87,8.56,7109.00,151.09,1113146.66666667,10649.4945106955,,,
CYCLUS1_BEKKEN_21_2h_SHUTDOWN,1,Shutdown,3.21,4.54,16.63,21.00,,,,857.98,51.95,1585.71,10.08,7354.00,371.89,1145226.66666667,19080.4751862561,,,
CYCLUS1_BEKKEN_21_4h_SHUTDOWN,1,Shutdown,3.18,4.53,15.80,21.08,,,,908.01,21.69,1620.29,4.24,7116.33,229.55,1164600,14354.316423989,,,
CYCLUS1_BEKKEN_21_6h_SHUTDOWN,1,Shutdown,3.16,4.54,15.28,21.17,,,,979.16,12.14,1743.10,3.92,6898.33,211.89,1175053.33333333,23860.4721942658,,,
CYCLUS1_BEKKEN_21_8h_SHUTDOWN,1,Shutdown,2.67,4.59,14.87,21.25,,,,962.44,43.26,1706.60,10.03,7183.00,102.84,1151013.33333333,528.141395209,,,
CYCLUS1_BEKKEN_21_10h_SHUTDOWN,1,Shutdown,2.50,4.63,16.66,21.33,,,,970.30,20.57,1706.87,4.39,7048.67,299.36,1187360,21592.7024709738,,,
CYCLUS1_BEKKEN_22_A_POSTCYCLE,1,Shutdown,2.23,4.65,17.20,21.92,,,,974.27,16.43,1710.05,5.20,7354.00,254.15,1180173.33333333,30042.5653587262,,,
CYCLUS1_BEKKEN_22_B_POSTCYCLE,1,Shutdown,1.96,4.68,17.40,22.33,,,,908.55,10.36,1611.30,1.92,7009.67,75.51,1231600,18238.0700733384,,,
CYCLUS1_BEKKEN_23_A_POSTCYCLE,1,Shutdown,1.86,4.69,17.40,22.92,2.09,4.26,43.00,938.33,43.70,1672.88,9.76,7153.67,293.09,1203053.33333333,23382.3979380502,36.61799217,4.126297364,2.324752776
CYCLUS1_BEKKEN_23_B_POSTCYCLE,1,Shutdown,1.84,4.70,17.29,23.33,,,,1085.88,34.40,2026.28,7.26,8306.00,291.61,1256733.33333333,31159.9828840347,,,
CYCLUS1_BEKKEN_24_A_POSTCYCLE,1,Shutdown,1.79,4.70,17.39,23.92,2.16,4.11,40.00,927.13,57.10,1640.18,13.51,7083.33,414.62,1221280,16233.3483915057,33.26280015,3.551149816,2.016908754
CYCLUS1_BEKKEN_24_B_POSTCYCLE,1,Shutdown,1.78,4.71,17.34,24.33,,,,915.90,14.56,1638.48,2.81,7233.67,16.77,1275120,14969.2484781301,,,
CYCLUS1_BEKKEN_25_A_POSTCYCLE,1,Shutdown,1.38,4.81,17.46,24.92,2.10,4.13,45.00,922.96,26.85,1677.33,5.13,7464.00,185.43,1242253.33333333,36791.7454510293,38.03809183,3.849157761,1.991081384
CYCLUS1_BEKKEN_25_B_POSTCYCLE,1,Shutdown,1.37,4.82,17.31,25.33,,,,955.10,9.84,1692.92,1.40,7344.33,9.29,1275293.33333333,15435.3533595229,,,
CYCLUS1_BEKKEN_26_A_POSTCYCLE,1,Shutdown,1.34,4.77,17.41,25.92,2.40,4.70,37.00,955.04,27.35,1706.95,6.53,7279.67,217.66,1256946.66666667,19343.5605133422,35.67694269,4.09937359,2.195761029
CYCLUS2_BEKKEN_-7_A_PRECYCLE,2,Control,1.34,4.76,15.57,-7.00,,,,1421.13,27.16,2461.92,4.15,8676.67,257.06,886053.333333333,18360.145242708,,,
CYCLUS2_BEKKEN_-7_B_PRECYCLE,2,Control,1.34,4.76,15.34,-6.58,11.56,19.83,81.00,1285.37,17.69,2276.30,4.20,9261.67,113.51,1107786.66666667,17484.2710266494,55.94615465,8.735001803,4.654311897
CYCLUS2_BEKKEN_-6_A_PRECYCLE,2,Control,1.35,4.76,15.06,-6.00,,,,1294.00,20.02,2302.96,3.84,8552.33,21.20,900386.666666667,2597.3319644076,,,
CYCLUS2_BEKKEN_-6_B_PRECYCLE,2,Control,1.33,4.76,15.43,-5.58,12.10,20.66,85.00,1262.85,22.65,2215.20,3.13,8832.67,71.39,880960,8428.6179175473,53.91462509,7.92043655,4.424590477
CYCLUS2_BEKKEN_-4_A_PRECYCLE,2,Control,1.36,4.76,15.15,-4.00,,,,1295.23,19.10,2272.43,4.54,7775.00,75.94,877626.666666667,6807.5644200649,,,
CYCLUS2_BEKKEN_-4_B_PRECYCLE,2,Control,1.36,4.76,15.90,-3.58,8.46,13.87,64.00,1264.77,4.98,2147.70,1.23,8611.00,149.77,877706.666666667,14200.8638234909,42.23300044,7.085852796,4.443855691
CYCLUS2_BEKKEN_-1_A_PRECYCLE,2,Control,1.37,4.75,20.51,-1.00,,,,1355.77,10.65,2328.30,3.34,8261.67,177.27,910000,8715.8705818753,,,
