Sample name,Cycle,Reactor phase,Conductivity (µS/cm),pH,Temperature (°C),Time point (d),D2.tax,D1.tax,D0.tax,D2.fcm,D2.fcm.sd,D1.fcm,D1.fcm.sd,D0.fcm,D0.fcm.sd,Cell.density,Cell.density.sd,D0_GLMM,D1_GLMM,D2_GLMM
CYCLUS2_BEKKEN_-1_B_PRECYCLE,2,Control,1.33,4.85,23.95,-0.58,9.70,17.67,89.00,1343.50,30.60,2292.76,6.63,8585.00,224.94,918320,15531.5936078691,49.34269893,8.964501218,5.282756091
CYCLUS2_BEKKEN_0_0h_START,2,Startup,1.97,4.82,19.72,0.00,10.52,19.77,88.00,1423.12,64.28,2441.33,14.51,8779.00,470.57,877973.333333333,12215.4219465941,57.65271609,11.23653342,6.229754196
CYCLUS2_BEKKEN_0_2h_START,2,Startup,3.12,4.68,23.74,0.08,13.10,26.65,112.00,1676.50,11.02,2770.02,3.82,9413.00,261.40,832360,12459.4060853638,68.93273886,17.70103536,9.959876571
CYCLUS2_BEKKEN_0_4h_START,2,Startup,3.58,4.63,26.96,0.17,6.12,15.71,93.00,1841.30,131.30,2924.23,25.86,9424.00,704.31,748733.333333333,15750.5216844819,69.13936323,21.51069284,13.0276492
CYCLUS2_BEKKEN_0_6h_START,2,Startup,4.08,4.53,25.02,0.25,4.26,10.66,72.00,1555.39,28.56,2570.62,6.66,8757.67,279.15,859053.333333333,5233.9405167936,57.29436942,13.52905251,8.035260479
CYCLUS2_BEKKEN_0_8h_START,2,Startup,4.55,4.47,25.24,0.33,5.08,14.33,99.00,1380.83,35.62,2332.12,7.29,8559.33,159.48,1001906.66666667,36571.5153272781,54.02778501,9.530551392,5.714100628
CYCLUS2_BEKKEN_0_10h_START,2,Startup,4.65,4.46,25.32,0.42,5.44,9.32,57.00,1259.45,19.77,2181.45,4.54,8416.00,137.52,1133386.66666667,11046.5439542571,51.73946076,7.494772148,4.390511321
CYCLUS2_BEKKEN_0_12h_START,2,Startup,4.58,4.46,25.68,0.50,2.23,3.97,39.00,1134.12,12.28,2013.80,3.54,8162.67,219.55,1191080,3862.6415831656,47.84160038,5.620908507,3.252061529
CYCLUS2_BEKKEN_0_14h_START,2,Startup,4.47,4.47,26.66,0.58,1.94,3.27,37.00,1145.09,11.54,2019.07,2.08,8260.33,52.35,1323826.66666667,16837.7829102686,49.32229404,5.673992867,3.342978637
CYCLUS2_BEKKEN_1_A_OPERATION,2,Operation,4.40,4.49,26.90,1.00,2.62,4.28,46.00,983.44,11.13,1747.20,3.13,7717.33,111.79,1627280,36807.1514790265,41.43491255,3.372154484,2.162058646
CYCLUS2_BEKKEN_1_B_OPERATION,2,Operation,4.40,4.49,28.49,1.21,,,,984.52,8.02,1753.97,1.15,7731.33,224.81,1730173.33333333,51070.6856556022,,,
CYCLUS2_BEKKEN_1_C_OPERATION,2,Operation,4.09,4.52,25.79,1.42,2.59,4.08,34.00,985.70,7.70,1738.65,1.05,7728.00,34.07,1783000,39467.1914379526,41.5818362,3.313172919,2.176291969
CYCLUS2_BEKKEN_2_A_OPERATION,2,Operation,3.72,4.56,27.08,2.00,,,,971.07,5.17,1726.32,1.17,7727.67,55.99,1737040,9081.0572071758,,,
CYCLUS2_BEKKEN_2_B_OPERATION,2,Operation,3.52,4.58,24.44,2.42,3.73,5.36,40.00,931.59,16.42,1660.72,5.62,7454.67,263.35,1837120,32252.5781915183,37.91631788,2.809242227,1.851385245
CYCLUS2_BEKKEN_3_A_OPERATION,2,Operation,3.18,4.61,25.55,3.00,,,,934.85,29.13,1682.87,6.57,7635.33,213.93,1694320,16967.3097455077,,,
CYCLUS2_BEKKEN_3_B_OPERATION,2,Operation,3.08,4.63,24.79,3.42,3.81,5.40,32.00,984.82,20.10,1750.49,5.01,7492.67,130.02,1817586.66666667,29835.7727121879,38.41360179,3.395072351,2.170770764
CYCLUS2_BEKKEN_4_A_OPERATION,2,Operation,3.15,4.61,26.11,4.00,3.26,4.66,26.00,1007.73,8.03,1799.55,0.50,7734.33,95.77,1691440,23725.7328653932,41.66922221,3.750072848,2.318481635
CYCLUS2_BEKKEN_4_B_OPERATION,2,Operation,3.20,4.60,26.71,4.42,3.69,5.31,32.00,959.71,30.21,1740.03,6.65,7482.67,243.06,1656080,29242.9547070743,38.28235444,3.322658482,2.01595769
CYCLUS2_BEKKEN_5_A_OPERATION,2,Operation,3.12,4.60,29.10,5.00,2.62,4.05,29.00,996.97,31.01,1824.33,8.23,8008.00,268.42,1490333.33333333,19206.4294790399,45.55278492,3.939227407,2.248298943
CYCLUS2_BEKKEN_5_B_OPERATION,2,Operation,3.11,4.59,26.82,5.42,,,,1002.91,30.35,1854.12,9.33,8071.67,491.52,1337213.33333333,99647.2605410371,,,
CYCLUS2_BEKKEN_6_A_OPERATION,2,Operation,3.15,4.60,27.37,6.00,3.08,5.03,33.00,1147.72,35.32,2097.74,6.76,8543.67,209.37,1044840,29357.1388251648,53.77472272,6.510575042,3.365003996
CYCLUS2_BEKKEN_6_B_OPERATION,2,Operation,2.77,4.67,26.21,6.42,,,,1219.35,68.66,2169.42,15.75,8309.67,524.85,986133.333333333,15179.424670696,,,
CYCLUS2_BEKKEN_7_A_OPERATION,2,Operation,2.93,4.64,28.45,7.00,3.77,6.58,48.00,1290.23,40.94,2299.48,7.83,8445.33,275.93,837426.666666667,19808.4561067574,52.20285903,9.059329975,4.704841317
CYCLUS2_BEKKEN_7_B_OPERATION,2,Operation,3.30,4.57,26.65,7.42,,,,1236.72,53.43,2222.60,12.67,8363.67,452.44,899093.333333333,11405.3554672063,,,
CYCLUS2_BEKKEN_8_A_OPERATION,2,Operation,3.42,4.56,28.17,8.00,,,,1171.83,69.73,2123.48,19.48,8069.33,627.24,870400,19587.6287487792,,,
CYCLUS2_BEKKEN_8_B_OPERATION,2,Operation,3.55,4.52,25.83,8.42,,,,1201.66,13.38,2174.58,3.04,8430.00,187.66,921693.333333333,26740.0024931437,,,
CYCLUS2_BEKKEN_9_A_OPERATION,2,Operation,3.56,4.52,26.57,9.00,1.78,3.42,40.00,1155.87,30.70,2070.47,6.89,7956.33,223.82,868266.666666667,29215.3475648217,44.80340157,6.211132746,3.433869888
CYCLUS2_BEKKEN_9_B_OPERATION,2,Operation,3.46,4.53,26.71,9.42,,,,1146.88,17.71,2087.16,3.55,8232.33,63.58,937733.333333333,19397.9105403993,,,
CYCLUS2_BEKKEN_10_A_OPERATION,2,Operation,3.30,4.55,25.85,10.00,,,,997.28,41.50,1841.73,10.46,7707.33,319.88,905013.333333333,9794.0662308019,,,
CYCLUS2_BEKKEN_10_B_OPERATION,2,Operation,4.07,4.44,28.93,11.00,,,,961.22,15.67,1752.42,2.33,7411.67,119.71,980293.333333333,8355.1501083663,,,
CYCLUS2_BEKKEN_11_A_OPERATION,2,Operation,4.03,4.42,27.34,11.42,1.45,2.34,29.00,868.85,34.70,1592.11,9.01,7012.00,329.33,1046240,25892.8561576355,32.41110476,2.413575253,1.516306808
CYCLUS2_BEKKEN_11_B_OPERATION,2,Operation,4.05,4.44,27.44,12.00,,,,887.74,38.62,1612.62,9.19,6917.33,330.01,935640,17326.0959249336,,,
CYCLUS2_BEKKEN_12_A_OPERATION,2,Operation,3.91,4.50,25.05,12.42,1.55,2.72,34.00,879.09,20.15,1610.77,4.39,6998.33,64.30,883573.333333333,23365.7641290272,32.24946513,2.516937097,1.568055279
CYCLUS2_BEKKEN_12_B_OPERATION,2,Operation,4.09,4.53,27.51,13.00,,,,843.87,40.31,1547.57,10.62,6874.00,444.51,875053.333333333,33028.7712961493,,,
CYCLUS2_BEKKEN_13_A_OPERATION,2,Operation,4.02,4.50,27.05,13.42,,,,868.00,19.97,1572.55,3.66,6850.33,64.59,874200,4642.5854865581,,,
CYCLUS2_BEKKEN_13_B_OPERATION,2,Operation,4.17,4.46,27.54,14.00,,,,838.22,66.10,1510.24,16.12,6474.00,482.55,809320,22212.7530936622,,,
CYCLUS2_BEKKEN_14_A_OPERATION,2,Operation,3.72,4.50,25.78,14.42,1.21,1.70,25.00,890.57,17.69,1644.32,4.77,7139.33,238.23,744026.666666667,10167.5824724137,33.94088261,2.710696188,1.627399651
CYCLUS2_BEKKEN_15_A_OPERATION,2,Operation,3.84,4.46,25.80,15.00,,,,913.23,40.99,1668.88,10.61,7272.33,345.31,704573.333333333,12385.8198490586,,,
CYCLUS2_BEKKEN_15_B_OPERATION,2,Operation,3.74,4.47,25.01,15.42,,,,963.50,23.36,1719.07,6.52,7105.00,330.10,761493.333333333,4803.5542396577,,,
CYCLUS2_BEKKEN_16_A_OPERATION,2,Operation,4.14,4.42,29.24,16.00,1.15,1.52,24.00,975.89,26.89,1731.42,5.98,7326.33,172.93,822586.666666667,13288.2705170136,36.26599021,3.2638715,2.114843215
CYCLUS2_BEKKEN_16_B_OPERATION,2,Operation,4.22,4.41,26.70,16.42,1.16,1.56,24.00,861.79,30.16,1544.09,6.90,6859.00,87.93,1019226.66666667,5420.3074943525,30.62954167,2.16175754,1.481294789
CYCLUS2_BEKKEN_17_A_OPERATION,2,Operation,4.14,4.41,28.14,17.00,,,,875.99,3.83,1560.95,0.95,6866.33,30.57,1021306.66666667,1982.8598874689,,,
CYCLUS2_BEKKEN_17_B_OPERATION,2,Operation,4.11,4.42,27.21,17.42,1.20,1.70,29.00,842.23,23.52,1480.14,4.92,6447.00,131.65,1142493.33333333,8127.1233123002,26.13342254,1.856590875,1.387020351
CYCLUS2_BEKKEN_18_A_OPERATION,2,Operation,3.70,4.47,27.80,18.00,,,,789.05,10.08,1410.99,3.16,6419.00,108.28,1113920,18438.3947240534,,,
CYCLUS2_BEKKEN_18_B_OPERATION,2,Operation,3.40,4.51,25.79,18.42,,,,809.23,1.19,1449.93,1.05,6520.00,76.32,1058453.33333333,13731.1519303128,,,
CYCLUS2_BEKKEN_19_A_OPERATION,2,Operation,3.76,4.46,27.52,19.00,1.14,1.51,22.00,883.20,15.18,1562.96,2.40,6802.67,110.10,987346.666666667,10742.8363728269,29.98899841,2.258312982,1.589152449
CYCLUS2_BEKKEN_19_B_OPERATION,2,Operation,4.30,4.40,26.01,19.42,,,,861.84,9.47,1516.50,2.51,6347.00,201.74,1058880,14151.5794171534,,,
CYCLUS2_BEKKEN_20_A_OPERATION,2,Operation,5.34,4.29,29.60,20.00,,,,805.57,12.80,1442.55,3.79,6601.67,144.30,1013573.33333333,11264.6941074018,,,
CYCLUS2_BEKKEN_20_B_OPERATION,2,Operation,5.44,4.27,28.08,20.42,1.15,1.59,33.00,872.65,6.60,1542.74,0.62,6647.67,42.25,981013.333333333,9000.7407102601,28.26894582,2.15498698,1.535391977
CYCLUS2_BEKKEN_21_A_OPERATION,2,Operation,5.61,4.26,30.33,21.00,,,,788.15,31.27,1437.20,8.04,6460.67,316.28,898613.333333333,16915.6180298957,,,
CYCLUS2_BEKKEN_21_B_OPERATION,2,Operation,5.67,4.26,24.76,21.42,,,,876.54,18.23,1583.80,4.07,6816.67,129.73,811173.333333333,3106.2088360787,,,
CYCLUS2_BEKKEN_22_A_OPERATION,2,Operation,4.71,4.35,27.68,22.00,1.23,1.80,28.00,906.59,18.50,1647.00,3.97,6977.67,235.39,737266.666666667,5707.865917603,32.00596984,2.726611271,1.712627379
CYCLUS2_BEKKEN_22_B_OPERATION,2,Operation,5.05,4.32,26.99,22.42,,,,915.33,9.43,1652.97,2.19,7032.33,99.02,852213.333333333,7221.5603115486,,,
CYCLUS2_BEKKEN_23_A_OPERATION,2,Operation,4.85,4.33,28.73,23.00,1.12,1.45,23.00,849.43,28.68,1551.95,7.24,6838.33,297.09,857000,5265.4344550094,30.39359057,2.201622548,1.421273784
CYCLUS2_BEKKEN_23_B_OPERATION,2,Operation,4.65,4.34,28.97,23.42,,,,899.83,5.72,1612.13,0.37,6763.67,114.03,886146.666666667,17547.8469714473,,,
CYCLUS2_BEKKEN_24_A_OPERATION,2,Operation,4.16,4.39,27.48,24.00,,,,865.37,16.73,1578.94,3.58,6838.33,27.54,781080,12265.268036207,,,
CYCLUS2_BEKKEN_24_B_OPERATION,2,Operation,4.16,4.39,25.37,24.42,1.30,2.15,39.00,860.25,17.78,1589.25,4.72,6898.33,297.40,739040,12361.4238662057,31.08168803,2.398019747,1.473730436
CYCLUS2_BEKKEN_25_A_OPERATION,2,Operation,3.39,4.49,25.98,25.00,,,,950.34,18.32,1774.40,2.74,7558.00,140.81,654440,3548.2953653832,,,
CYCLUS2_BEKKEN_25_B_OPERATION,2,Operation,3.31,4.50,26.17,25.42,,,,1045.69,50.46,1886.59,11.39,7499.67,369.67,626546.666666667,12677.0553889037,,,
CYCLUS2_BEKKEN_26_A_OPERATION,2,Operation,3.22,4.52,26.75,26.00,1.45,2.51,40.00,1111.07,6.87,2004.56,1.33,7936.67,30.66,638133.333333333,16023.4994097211,44.52014205,5.528691675,3.066363172
CYCLUS2_BEKKEN_26_B_OPERATION,2,Operation,3.30,4.51,26.33,26.42,,,,1075.43,25.50,1977.87,3.60,8133.33,145.71,671506.666666667,6721.9441632115,,,
CYCLUS2_BEKKEN_27_A_OPERATION,2,Operation,2.97,4.55,27.26,27.00,,,,1006.44,19.99,1907.89,6.33,8183.00,178.43,674773.333333333,35036.5599529025,,,
CYCLUS2_BEKKEN_27_B_OPERATION,2,Operation,2.77,4.65,26.30,27.42,1.48,2.48,36.00,1097.71,8.65,2017.17,3.98,8171.67,157.75,710000,20665.2171534683,47.97689644,5.654825488,2.961898639
CYCLUS2_BEKKEN_28_0h_SHUTDOWN,2,Shutdown,2.55,4.66,22.22,28.06,,,,1071.40,44.25,1999.97,11.45,8282.00,328.99,741613.333333333,6785.1995794769,,,
CYCLUS2_BEKKEN_28_2h_SHUTDOWN,2,Shutdown,2.54,4.67,13.96,28.15,,,,1118.00,17.64,2053.49,4.53,8146.67,214.60,751840,9570.9560650961,,,
CYCLUS2_BEKKEN_28_4h_SHUTDOWN,2,Shutdown,2.56,4.65,12.97,28.23,,,,1131.29,17.88,2065.91,2.65,8158.00,142.44,794640,4474.4608613776,,,
CYCLUS2_BEKKEN_28_6h_SHUTDOWN,2,Shutdown,2.48,4.68,14.13,28.31,,,,1063.64,35.77,1919.38,7.66,7573.67,206.05,841373.333333333,9715.1702678509,,,
CYCLUS2_BEKKEN_28_8h_SHUTDOWN,2,Shutdown,2.41,4.68,15.26,28.40,,,,1072.52,33.26,1933.09,8.16,7619.00,338.10,859666.666666667,1780.9360834498,,,
CYCLUS2_BEKKEN_28_10h_SHUTDOWN,2,Shutdown,2.36,4.68,16.88,28.48,1.91,4.30,58.00,1030.36,38.01,1866.43,9.51,7528.67,397.80,856640,2813.680863211,38.88836259,4.27616735,2.47076144
CYCLUS2_BEKKEN_29_A_POSTCYCLE,2,Shutdown,2.12,4.70,17.37,29.00,,,,1012.30,21.20,1822.65,4.68,7474.67,83.72,850893.333333333,10261.8776709398,,,
CYCLUS2_BEKKEN_29_B_POSTCYCLE,2,Shutdown,1.95,4.71,17.91,29.42,2.13,4.43,54.00,1027.57,25.08,1847.23,6.08,7522.67,247.55,866000,4206.471205179,38.80898877,4.120001948,2.451658107
CYCLUS2_BEKKEN_30_A_POSTCYCLE,2,Shutdown,1.82,4.72,17.75,30.00,,,,1017.34,39.82,1857.38,9.45,7685.33,299.94,873933.333333333,10268.8915338187,,,
CYCLUS2_BEKKEN_30_B_POSTCYCLE,2,Shutdown,1.75,4.72,17.71,30.42,1.84,3.84,50.00,1013.73,38.59,1863.40,10.01,7774.33,249.23,917826.666666667,14126.8161074367,42.22372091,4.251258929,2.358273048
CYCLUS2_BEKKEN_31_A_POSTCYCLE,2,Shutdown,1.67,4.73,15.48,31.00,1.96,4.30,53.00,1012.16,4.99,1868.44,1.15,7864.00,172.10,915506.666666667,13301.4485426713,43.48300554,4.292802257,2.347831877
CYCLUS2_BEKKEN_34_A_POSTCYCLE,2,Shutdown,1.54,4.71,15.39,34.00,,,,959.00,35.97,1768.44,7.99,7504.00,279.01,935853.333333333,26604.6712690334,,,
CYCLUS2_BEKKEN_34_B_POSTCYCLE,2,Shutdown,1.36,4.80,15.05,34.42,1.74,3.54,47.00,963.56,28.18,1786.05,6.54,7523.33,240.38,935960,15279.6335034581,38.8178032,3.649833958,2.039213373
CYCLUS2_BEKKEN_35_A_POSTCYCLE,2,Shutdown,1.36,4.79,14.89,35.00,1.86,3.69,38.00,967.13,38.14,1768.88,8.91,7353.33,210.53,918880,9066.5098025646,36.60948581,3.525122871,2.060944377
CYCLUS2_BEKKEN_35_B_POSTCYCLE,2,Shutdown,1.37,4.79,15.57,35.42,,,,957.27,62.70,1754.52,14.27,7360.67,383.49,966200,14875.6983029369,,,
